40
1	0	5	5880
2	3	10	5876
3	4	11	4330
4	6	8	620
5	6	9	6050
6	7	9	1008
7	8	15	11208
8	9	2	680
9	10	17	3950
10	11	19	6000
11	13	7	810
12	15	8	400
13	18	9	10800
14	20	11	4000
15	22	15	5500
16	24	23	4850
17	26	16	10200
18	28	4	16200
19	30	5	2300
20	31	8	2505
21	33	11	860
22	36	26	2920
23	40	13	7580
24	41	11	7904
25	43	14	22050
26	44	6	4300
27	46	12	8000
28	47	8	1850
29	50	6	2705
30	51	9	450
31	53	11	6500
32	55	18	3000
33	56	9	5540
34	58	8	3710
35	60	21	8890
36	62	25	6750
37	63	2	310
38	64	13	340
39	65	9	4710
40	70	10	9398
